Ticker,Sector,Score,Rating,Cobertura,Q,Val,Gro,Saf,Mom,Inc,pe,forward_pe,pb,ev_ebitda,roe,profit_margin,revenue_growth,earnings_growth,debt_to_equity,dividend_yield,Mom%
CMCSA,Communication Services,4.92,Regular,6/6,7.5,8.5,3.5,3.2,3.1,7.8,4.7490196,6.417237,0.98140115,4.755,0.20918,0.15004,0.053,-0.326,106.858,5.7,-21.6
XP,Financial Services,4.9,Regular,6/6,7.8,8.0,4.8,4.1,2.8,2.8,8.539267,6.903825,1.7956383,,0.22944,0.28849,0.097,0.089,677.346,1.24,-16.6
FNMA,Financial Services,4.9,Regular,5/6,8.2,1.3,6.0,5.8,1.9,,686.0,Infinity,-0.29102325,,0.13672,0.53004,-0.044,9.835,3703.659,,-25.8
CRM,Technology,4.89,Regular,6/6,5.5,8.0,5.8,2.1,2.8,4.8,18.30475,10.182501,3.7790964,12.44,0.16908,0.18733,0.133,0.522,124.282,1.11,-29.7
JD,Consumer Cyclical,4.87,Regular,6/6,4.2,9.2,2.8,6.8,4.1,8.3,18.566175,5.9175835,1.0874941,0.699,0.06004,0.0104600005,0.049,-0.507,38.478,3.94,-9.7
TMUS,Communication Services,4.86,Regular,6/6,6.5,5.5,5.4,3.0,3.4,4.6,18.48778,12.448266,3.3806841,9.335,0.18024999,0.116459996,0.106,-0.12,218.569,2.23,-18.8
AIG,Financial Services,4.86,Regular,6/6,2.9,9.2,4.8,5.3,2.9,7.0,13.226233,8.441894,0.9908336,4.768,0.07723,0.118389994,0.014,0.216,22.647,2.65,-11.8
HOG,Consumer Cyclical,4.86,Regular,6/6,4.9,7.8,1.3,8.1,6.7,7.2,12.559586,12.762597,0.83276075,7.821,0.07115,0.053379998,-0.118,-0.794,71.433,2.92,4.9
RIOT,Financial Services,4.86,Regular,5/6,1.3,3.6,3.9,5.7,9.5,,,-46.992477,4.3915176,-35.124,-0.32486,-1.3276199,0.036,,36.63,,139.9
INFY,Technology,4.85,Regular,6/6,6.2,6.8,3.2,6.7,2.6,9.2,13.39375,12.100919,8.862697,19.098,0.31439,0.16434999,0.066,0.118,9.827,4.86,-30.7
GM,Consumer Cyclical,4.85,Regular,6/6,4.1,8.4,2.5,4.1,9.4,2.4,28.229927,5.492114,1.1134783,9.667,0.040149998,0.0137600005,-0.009,-0.158,199.048,0.92,68.7
CCL,Consumer Cyclical,4.85,Regular,6/6,7.2,6.8,4.0,2.0,6.1,2.7,13.144144,11.08431,3.0871775,8.732,0.26689,0.11237001,0.053,-0.065,201.556,1.03,0.9
RACE,Consumer Cyclical,4.83,Regular,6/6,9.2,2.1,4.4,8.4,2.6,3.6,36.111767,30.124994,14.096524,27.352,0.41968,0.22187,0.032,0.013,72.246,1.15,-29.9
IBM,Technology,4.83,Regular,6/6,6.5,6.1,3.9,1.9,4.4,8.1,24.593805,20.650694,7.9215007,18.867,0.35772,0.15606,0.095,0.142,211.169,2.49,5.4
MELI,Consumer Cyclical,4.83,Regular,5/6,6.3,2.6,6.3,4.6,2.4,,44.45668,28.785969,11.719573,23.252,0.31258,0.060370002,0.49,-0.156,169.977,,-33.8
AEG,Financial Services,4.8,Regular,6/6,3.2,8.1,1.6,7.8,6.1,9.5,12.330883,9.055076,1.477868,,0.10421,0.080129996,-0.137,-0.467,56.935,5.52,16.2
PSX,Energy,4.8,Regular,6/6,5.5,4.9,4.1,4.2,5.9,4.4,17.181639,9.9970255,2.4461029,13.061,0.14547,0.03066,0.069,-0.568,91.385,2.96,52.5
