Ticker,Sector,Score,Rating,Cobertura,Q,Val,Gro,Saf,Mom,Inc,pe,forward_pe,pb,ev_ebitda,roe,profit_margin,revenue_growth,earnings_growth,debt_to_equity,dividend_yield,Mom%
ONDS,Technology,9.49,Fuerte,5/6,9.3,7.7,9.9,9.8,9.7,,89.111115,-160.40001,3.5021837,-32.454,0.42948002,2.5192,10.799,,0.728,,588.5
SNDK,Technology,8.91,Fuerte,5/6,8.5,4.8,9.6,9.1,10.0,,70.0509,11.038213,22.026361,54.347,0.39297,0.34185,2.51,,1.503,,3637.6
MU,Technology,8.46,Fuerte,6/6,9.5,6.7,9.9,8.1,9.9,1.3,25.870342,7.665633,17.828978,18.457,0.66638,0.55906,3.457,13.685,6.33,0.05,680.2
CEPU,Utilities,8.43,Fuerte,5/6,9.0,8.6,7.5,7.5,10.0,,7.4285717,9.036812,1.2575932,1.153,0.19266,0.3667,0.631,1.271,27.327,,32.9
NBIS,Communication Services,8.37,Fuerte,5/6,7.9,1.9,10.0,6.5,10.0,,100.44231,722.9666,9.236727,-1600.006,0.14136,0.93086,6.839,,132.429,,317.7
SATL,Industrials,8.34,Fuerte,4/6,2.3,,10.0,8.8,9.7,,,-58.75,-31.685392,-33.273,,0.0,0.803,,,,162.7
EWZ,,8.25,Fuerte,3/6,,9.0,,,8.0,8.0,12.485621,,0.9445902,,,,,,,4.59,32.1
MUX,Basic Materials,8.25,Fuerte,5/6,7.1,5.9,9.4,5.3,9.7,,15.194916,4.3256936,1.6277803,37.72,0.13091,0.31404,1.074,,19.651,,127.8
IRS,Real Estate,8.23,Fuerte,6/6,9.0,7.3,10.0,4.5,6.0,10.0,4.84164,28.135656,0.87627614,3.927,0.22481,0.72512,0.293,,44.648,15.41,9.3
B,Basic Materials,8.21,Fuerte,6/6,8.5,6.6,8.9,8.2,8.9,5.7,9.981081,8.042282,2.2632837,5.923,0.25176,0.32141,0.667,2.542,12.852,1.88,109.0
MRNA,Healthcare,8.16,Fuerte,5/6,1.7,6.8,10.0,9.2,10.0,,,-16.616602,3.7352624,-9.911,-0.36556998,-1.4355099,2.602,,17.522,,73.7
CDE,Basic Materials,8.11,Fuerte,6/6,6.7,6.0,10.0,9.2,9.5,2.1,13.169354,8.004902,1.6224542,12.085,0.12146,0.31146,1.378,4.833,7.426,0.25,118.3
CAAP,Industrials,8.03,Fuerte,5/6,6.4,8.8,8.9,7.7,7.6,,14.793103,11.299237,2.3270953,6.056,0.17448,0.13841,0.201,0.88,58.138,,31.0
IEMG,,8.0,Fuerte,3/6,,8.0,,,10.0,4.0,17.717394,,1.2656208,,,,,,,2.21,41.5
EEM,,8.0,Fuerte,3/6,,8.0,,,10.0,4.0,17.854893,,1.2831296,,,,,,,1.77,44.7
MFG,Financial Services,7.97,Fuerte,6/6,5.6,8.3,9.1,8.0,9.1,5.0,15.451612,6.8920865,1.6533164,,0.11439,0.28366,0.167,6.799,,1.89,61.3
ALAB,Technology,7.78,Fuerte,5/6,6.6,1.6,8.6,9.4,9.5,,306.01343,105.85651,52.277,282.815,0.21110001,0.26724002,0.934,1.444,2.801,,276.7
PAM,Industrials,7.76,Fuerte,5/6,5.9,9.4,9.1,8.8,5.5,,9.927273,5.810699,1.1792657,7.187,0.121029995,0.20306,0.384,0.399,50.435,,21.2
ILF,,7.75,Fuerte,3/6,,9.0,,,8.0,6.0,12.794154,,1.273569,,,,,,,3.83,38.9
HL,Basic Materials,7.7,Fuerte,6/6,6.7,4.1,9.1,9.2,10.0,1.7,22.31884,13.01632,4.0177407,11.525,0.19894,0.16806999,1.004,,11.091,0.1,197.0
RKLB,Industrials,7.67,Fuerte,5/6,1.7,2.7,9.7,9.8,10.0,,,-5578.2583,24.919909,-289.284,-0.13549,-0.26872,0.635,,6.124,,305.5
MO,Consumer Defensive,7.64,Fuerte,6/6,10.0,8.8,7.2,1.8,7.8,10.0,15.455114,12.597313,-38.517166,9.143,,0.39518002,0.053,1.063,,5.75,24.6
GFI,Basic Materials,7.59,Fuerte,6/6,10.0,4.9,8.6,5.0,5.6,9.6,8.454315,5.896066,7.066186,11.925,0.51931,0.40764,0.714,1.961,37.143,6.92,73.3
COPX,,7.5,Fuerte,3/6,,6.0,,,10.0,4.0,17.469297,,,,,,,,,2.18,100.2
GDX,,7.5,Fuerte,3/6,,8.0,,,10.0,2.0,14.4698,,,,,,,,,0.71,73.1
EWJ,,7.5,Fuerte,3/6,,8.0,,,8.0,6.0,19.157228,,1.3785403,,,,,,,3.92,28.6
BMNR,Financial Services,7.49,Bueno,6/6,1.4,7.3,10.0,9.7,9.6,1.5,,14.675532,0.69116694,-21.46,-1.75882,0.0,6.278,,0.013,0.07,351.9
LLY,Healthcare,7.49,Bueno,6/6,9.7,1.8,9.8,4.8,8.7,1.9,43.6643,27.635742,35.202053,30.8,1.07459,0.34986,0.555,1.699,139.015,0.57,43.5
AGRO,Consumer Defensive,7.45,Bueno,6/6,2.4,9.0,9.2,7.8,8.9,4.4,482.5,7.716604,0.7928683,11.713,0.010930001,0.00914,0.225,0.556,116.268,3.15,33.9
AMZN,Consumer Cyclical,7.45,Bueno,5/6,7.2,3.9,8.5,6.5,8.0,,32.672108,24.30434,5.8438177,16.653,0.24285,0.12224,0.166,0.748,53.3,,21.2
RGTI,Technology,7.41,Bueno,5/6,1.8,5.0,9.5,9.7,8.1,,,-96.66352,11.070615,-71.121,-0.57092,0.0,1.989,,1.162,,115.3
UGP,Energy,7.41,Bueno,6/6,5.7,7.9,8.2,5.3,7.0,9.6,9.2,8.716623,1.6923797,2.884,0.19181,0.020550001,0.103,1.674,114.113,6.37,57.9
PLTR,Technology,7.37,Bueno,5/6,8.3,2.2,9.0,9.3,5.4,,130.0,55.569695,32.822693,130.321,0.32587,0.43673,0.847,3.25,2.477,,19.7
GOOGL,Communication Services,7.35,Bueno,6/6,9.5,2.7,8.1,7.8,9.4,1.7,26.95503,24.300047,8.949992,25.148,0.38884997,0.37919,0.218,0.82,20.026,0.26,113.5
ROST,Consumer Cyclical,7.34,Bueno,6/6,7.5,3.5,8.5,7.3,10.0,1.7,29.166203,24.43548,10.632893,20.112,0.38981998,0.097399995,0.206,0.374,74.911,0.84,82.9
KGC,Basic Materials,7.33,Bueno,6/6,9.4,6.7,7.8,8.3,7.3,2.4,10.112766,6.934252,3.1191757,5.577,0.35467,0.35988,0.608,1.339,8.204,0.6,93.9
NVDA,Technology,7.33,Bueno,6/6,9.9,5.0,8.7,8.1,5.8,3.2,29.85758,15.274478,24.159853,27.906,1.14288,0.62966,0.852,2.145,6.555,0.52,33.9
GOOG,Communication Services,7.32,Bueno,6/6,9.5,3.0,8.1,7.8,9.1,1.7,26.774391,24.1372,8.890014,24.946,0.38884997,0.37919,0.218,0.82,20.026,0.26,111.6
PAAS,Basic Materials,7.31,Bueno,6/6,7.8,5.3,7.4,8.0,8.6,5.0,14.091482,8.82109,2.5598853,9.446,0.20796,0.3165,0.493,1.316,11.489,1.36,101.9
FSLR,Technology,7.3,Bueno,5/6,7.0,8.6,6.8,7.9,7.5,,15.029052,9.954116,2.5322516,10.494,0.18436001,0.30731001,0.236,0.651,5.943,,85.3
NU,Financial Services,7.29,Bueno,5/6,9.4,4.5,8.9,8.0,4.0,,20.2,11.395393,5.0714564,,0.30055,0.41924,0.437,0.559,,,-0.9
ASTS,Technology,7.26,Bueno,5/6,2.0,4.6,10.0,6.3,8.2,,,-422.85574,12.454428,-69.182,-0.37750998,0.0,19.522,,112.424,,129.8
XLE,,7.25,Bueno,3/6,,7.0,,,8.0,6.0,20.022223,,1.0281109,,,,,,,2.65,35.1
LVS,Consumer Cyclical,7.24,Bueno,6/6,8.9,5.1,8.8,1.7,7.8,5.5,17.11808,12.62794,25.672384,9.127,0.90455,0.13406,0.253,0.73,981.405,2.33,18.6
BBVA,Financial Services,7.22,Bueno,6/6,7.9,6.3,5.5,8.0,8.9,9.1,11.937198,10.324915,2.265333,,0.19042999,0.33124,0.119,0.133,,4.42,59.8
C,Financial Services,7.2,Bueno,6/6,3.5,7.4,8.4,9.0,8.6,4.0,17.616812,11.357995,1.2699488,,0.07649,0.20356001,0.159,0.561,,1.69,52.6
HUT,Financial Services,7.17,Bueno,5/6,1.4,2.5,9.8,5.5,10.0,,,-63.6716,9.646818,-34.582,-0.27396,-1.09774,2.255,,25.022,,571.1
SAN,Financial Services,7.16,Bueno,6/6,7.1,6.8,6.7,8.0,8.4,5.8,13.65,10.429161,1.6779466,,0.12886,0.34098998,0.046,0.674,,2.08,52.2
AMD,Technology,7.11,Bueno,5/6,4.3,3.2,7.9,8.0,9.3,,178.0495,40.969307,13.641742,113.326,0.08063,0.13374,0.378,0.912,6.005,,258.9
ARCO,Consumer Cyclical,7.1,Bueno,6/6,6.3,7.9,8.3,1.9,7.7,7.6,7.306306,9.42322,2.2032056,6.13,0.36284,0.048639998,0.129,1.594,278.651,3.36,14.7
CLS,Technology,7.1,Bueno,5/6,6.2,4.3,8.4,4.0,8.4,,41.63131,22.930216,18.801971,28.523,0.52454,0.069520004,0.528,1.473,44.881,,146.9
ROKU,Communication Services,7.06,Bueno,5/6,3.5,2.3,8.8,8.8,8.2,,101.13333,37.04216,7.5435104,46.287,0.07755,0.04058,0.224,,18.761,,48.1
UAL,Industrials,7.05,Bueno,5/6,5.6,8.6,7.8,3.3,7.9,,12.102955,9.439357,2.764113,7.734,0.25726998,0.06061,0.106,0.845,195.081,,44.2
NVO,Healthcare,7.03,Bueno,6/6,9.7,6.8,9.1,3.8,2.3,8.7,11.620193,14.718033,6.958546,1.946,0.71402,0.37205002,0.24,0.671,72.086,3.75,-30.3
EBAY,Consumer Cyclical,7.03,Bueno,6/6,8.8,4.3,7.5,5.2,9.0,3.6,25.588915,16.383238,11.200971,17.189,0.42875,0.17615,0.195,0.071,163.327,1.15,48.6
SLV,,7.0,Bueno,3/6,,8.0,,,10.0,0.0,,,2.4676785,,,,,,,0.0,108.3
EWY,,7.0,Bueno,3/6,,6.0,,,10.0,2.0,20.009916,,2.239544,,,,,,,0.99,197.5
VEA,,7.0,Bueno,3/6,,6.0,,,8.0,6.0,18.286457,,,,,,,,,2.61,28.9
LYG,Financial Services,7.0,Bueno,6/6,5.0,7.4,7.0,8.0,7.4,7.7,14.400001,10.826051,1.3106829,,0.10784,0.26495,0.115,0.447,,3.51,33.9
ICLN,,7.0,Bueno,3/6,,6.0,,,10.0,2.0,18.56173,,,,,,,,,1.14,82.4
TSM,Technology,6.99,Bueno,6/6,8.7,5.2,7.4,6.6,7.4,4.3,39.43674,22.612013,102.51733,5.494,0.3621,0.46505,0.351,0.584,18.447,0.88,84.7
VIST,Energy,6.97,Bueno,5/6,9.8,7.2,7.6,1.9,6.2,,9.362974,6.09185,2.5990372,5.625,0.3508,0.25648,0.973,0.19,145.057,,53.8
HSY,Consumer Defensive,6.97,Bueno,6/6,6.0,4.6,8.8,5.8,7.4,4.8,33.79795,18.262177,7.7768016,18.195,0.23234,0.09125,0.106,0.936,120.011,3.24,20.4
YPF,Energy,6.89,Bueno,5/6,1.6,8.8,9.2,3.1,7.8,,,8.116301,1.569379,1.843,-0.029409999,-0.018229999,0.428,,92.455,,59.0
MP,Basic Materials,6.87,Bueno,5/6,2.1,1.9,9.7,7.2,7.8,,,52.810547,4.9444547,-2273.39,-0.04167,-0.20482999,1.186,,44.018,,94.5
TEO,Communication Services,6.85,Bueno,6/6,3.2,7.2,9.5,3.1,8.8,2.3,23.418182,15.406698,1.0139483,1.996,0.052270003,0.03925,0.305,4.391,71.681,0.34,64.7
BIIB,Healthcare,6.82,Bueno,5/6,4.5,8.3,5.1,9.1,9.7,,23.318623,13.030047,1.7142925,9.655,0.077010006,0.13805,0.019,0.311,35.181,,55.5
FMX,Consumer Defensive,6.81,Bueno,6/6,3.9,6.4,7.7,6.5,6.6,9.2,29.294643,24.290165,3.650118,2.531,0.12437,0.03336,0.061,1.678,87.583,5.21,19.8
DECK,Consumer Cyclical,6.78,Bueno,5/6,8.6,6.0,5.0,9.9,7.4,,14.428775,12.207335,5.672285,9.703,0.40859002,0.18714,0.096,-0.048,15.01,,10.5
AKO-B,Consumer Defensive,6.77,Bueno,6/6,5.9,7.3,5.4,8.4,8.1,8.1,16.295813,18.637726,0.025945846,,0.23485,0.0854,0.041,0.253,82.529,4.62,25.1
NIO,Consumer Cyclical,6.77,Bueno,5/6,1.7,1.9,10.0,3.1,9.2,,,28.821573,19.219772,-36.393,-0.83959,-0.09086,1.122,,183.304,,61.8
SBS,Utilities,6.75,Bueno,6/6,8.5,7.1,5.7,7.5,8.0,4.0,11.857142,10.487364,2.417099,3.48,0.21233,0.22026,0.183,0.154,117.841,0.58,26.3
CEG,Utilities,6.75,Bueno,6/6,6.0,4.5,10.0,7.5,3.0,5.5,22.529974,19.174887,2.8064024,14.742,0.16104999,0.12693,0.638,10.91,66.428,0.65,-10.4
XME,,6.75,Bueno,3/6,,6.0,,,10.0,1.0,20.391438,,2.4756546,,,,,,,0.31,89.2
NUE,Basic Materials,6.74,Bueno,6/6,5.4,4.3,8.2,6.9,8.1,3.2,22.699106,13.396906,2.4265652,12.181,0.12285,0.06824,0.213,3.821,31.595,0.93,95.1
NEM,Basic Materials,6.73,Bueno,6/6,8.8,6.1,6.6,7.1,6.7,4.2,12.258106,8.325918,2.9035332,6.093,0.25832,0.3387,0.458,0.786,15.762,1.08,90.5
BK,Financial Services,6.72,Bueno,6/6,6.5,5.2,7.3,8.0,8.8,1.2,17.01737,14.225132,2.3863044,,0.13472,0.28722,0.134,0.418,,0.0153,56.3
DELL,Technology,6.72,Bueno,6/6,3.5,6.1,9.1,2.6,9.0,3.5,33.039074,19.357712,-191.54414,19.855,,0.062750004,0.875,2.825,,0.63,244.6
AVGO,Technology,6.72,Bueno,6/6,8.5,4.3,7.9,4.7,7.0,3.7,61.868774,19.202631,20.208899,42.341,0.37280998,0.38848,0.479,0.854,74.018,0.71,66.8
AEM,Basic Materials,6.71,Bueno,6/6,8.6,5.2,7.5,9.0,4.5,4.6,14.490105,10.641133,2.9258175,7.945,0.22298001,0.39457,0.661,1.086,1.215,1.14,55.1
CAT,Industrials,6.71,Bueno,6/6,8.1,2.3,7.8,4.6,9.4,1.9,51.501247,34.291702,25.489372,34.294,0.51331,0.13328,0.222,0.302,230.793,0.65,130.1
VRTX,Healthcare,6.7,Bueno,5/6,8.5,3.4,7.5,9.5,4.2,,29.652819,23.270521,6.558894,23.979,0.24197,0.35507,0.078,0.614,10.26,,0.5
SMCI,Technology,6.7,Bueno,5/6,4.1,8.3,9.5,4.9,3.9,,14.815789,8.875618,2.234659,16.639,0.17877,0.03701,1.227,3.26,120.798,,-3.1
JMIA,Consumer Cyclical,6.69,Bueno,5/6,1.2,1.2,9.4,4.6,9.8,,,-19.397058,62.21698,-13.463,-1.5473801,-0.30788,0.394,,77.043,,80.6
SCCO,Basic Materials,6.69,Bueno,6/6,9.5,1.7,6.3,5.8,8.4,6.4,28.502539,24.521864,11.923131,16.386,0.46343,0.34131,0.362,0.667,62.412,2.34,100.9
TS,Energy,6.66,Bueno,6/6,6.8,2.8,5.8,9.8,8.9,5.7,14.731579,13.67995,3.3063612,19.06,0.11625,0.16173,0.061,0.137,2.73,3.18,66.1
NEE,Utilities,6.66,Bueno,6/6,6.5,3.5,7.1,3.5,9.0,7.0,22.502539,20.147207,3.3480608,21.081,0.10325,0.29369,0.073,1.6,156.686,2.81,28.0
ANET,Technology,6.65,Bueno,5/6,7.9,3.7,6.7,7.7,6.6,,56.19863,36.840477,15.320699,43.92,0.31520998,0.38317,0.351,0.25,,,55.9
BLK,Financial Services,6.64,Bueno,6/6,5.0,5.5,8.5,8.1,4.5,6.5,23.895346,15.576109,2.6032286,15.299,0.118990004,0.24396999,0.27,0.459,23.635,2.38,1.4
ING,Financial Services,6.63,Bueno,6/6,8.1,7.7,4.1,8.0,7.9,8.4,12.530121,9.954916,1.5504333,,0.16565001,0.34228,0.029,0.137,,4.11,45.9
TSLA,Consumer Cyclical,6.62,Bueno,5/6,4.3,1.5,7.1,9.4,8.6,,374.4,164.60037,18.808056,126.007,0.04901,0.03946,0.158,0.083,18.738,,34.7
XLK,,6.62,Bueno,3/6,,5.5,,,10.0,1.0,36.94828,,1.2414048,,,,,,,0.4,53.0
ADI,Technology,6.6,Bueno,6/6,5.5,5.2,7.9,5.4,7.1,5.1,58.213966,26.505112,5.6555943,31.504,0.09639,0.26007998,0.372,1.105,25.81,1.14,75.7
MS,Financial Services,6.6,Bueno,6/6,6.1,3.9,7.6,5.0,8.2,5.0,19.164705,16.576351,3.200006,,0.16388,0.24753,0.163,0.319,502.246,1.89,51.4
URBN,Consumer Cyclical,6.59,Bueno,5/6,5.8,7.1,6.8,7.7,5.9,,13.742308,10.631254,2.3431814,9.373,0.18732001,0.07476,0.114,0.121,46.143,,0.2
F,Consumer Cyclical,6.59,Bueno,6/6,2.4,6.0,7.3,2.8,9.6,9.0,,7.66655,1.4932439,25.609,-0.14813,-0.03216,0.064,4.308,425.544,4.25,69.4
PEP,Consumer Defensive,6.57,Bueno,6/6,7.4,6.1,7.5,3.3,5.5,7.8,21.736675,15.247619,8.872113,12.586,0.43879002,0.09149,0.085,0.278,244.837,4.19,13.2
ABNB,Consumer Cyclical,6.57,Bueno,5/6,8.3,2.7,7.1,7.7,5.7,,36.33827,24.249983,11.467196,29.37,0.32325,0.19902,0.179,0.06,33.185,,-0.9
SNA,Industrials,6.55,Bueno,6/6,7.3,5.7,5.5,9.5,6.1,7.9,20.555212,18.706738,3.4630663,14.348,0.18202,0.19601,0.052,0.04,21.731,2.46,22.6
META,Communication Services,6.54,Bueno,6/6,8.9,4.2,8.3,7.5,4.0,3.2,20.450745,15.521729,5.859623,12.829,0.32930002,0.32837,0.331,0.624,35.608,0.38,-13.6
BKR,Energy,6.54,Bueno,6/6,7.6,3.4,6.4,6.6,9.6,2.3,17.990416,20.23487,2.8915477,11.723,0.17184,0.11171,0.025,1.325,82.935,1.63,69.5
ABEV,Consumer Defensive,6.54,Bueno,6/6,6.2,8.7,3.3,7.8,9.6,8.9,16.684212,14.498056,2.8425183,1.279,0.17251,0.1766,-0.001,0.024,3.42,4.79,37.4
EFA,,6.5,Bueno,3/6,,8.0,,,6.0,6.0,18.377989,,1.4276055,,,,,,,3.1,19.4
GILD,Healthcare,6.5,Bueno,6/6,9.0,6.5,6.1,6.4,6.1,4.9,17.187756,13.055988,6.6724763,11.606,0.4336,0.30993,0.044,0.548,94.635,2.56,23.8
IWM,,6.5,Bueno,3/6,,8.0,,,8.0,2.0,19.990446,,1.3672072,,,,,,,0.87,35.9
SPXL,,6.5,Bueno,3/6,,4.0,,,10.0,2.0,25.241936,,,,,,,,,0.52,67.3
URA,,6.5,Bueno,3/6,,2.0,,,8.0,8.0,32.88166,,,,,,,,,4.1,37.0
DAL,Industrials,6.49,Bueno,6/6,5.7,7.5,7.3,3.9,8.5,2.3,13.59781,11.565649,2.987044,9.882,0.2499,0.068670005,0.129,,105.021,0.84,69.7
BABA,Consumer Cyclical,6.43,Bueno,6/6,6.2,8.3,6.3,7.9,6.9,3.1,14.738425,10.576505,1.4165713,2.285,0.092159994,0.1012,0.029,1.041,25.014,1.11,8.9
HAL,Energy,6.43,Bueno,6/6,6.2,5.1,5.9,6.6,10.0,2.7,18.823204,11.641137,2.6390395,8.417,0.14626999,0.06947,-0.003,1.335,74.651,1.99,94.2
TTE,Energy,6.43,Bueno,6/6,6.1,8.5,6.6,4.9,4.8,9.1,11.523739,7.8137417,1.4487698,5.48,0.12512,0.08201,0.034,0.571,51.304,5.49,48.1
YUM,Consumer Cyclical,6.42,Bueno,6/6,9.0,4.1,7.9,1.4,6.3,4.8,25.563814,21.197021,-5.9839664,18.565,,0.20481001,0.152,0.722,,1.92,1.8
VIV,Communication Services,6.42,Bueno,6/6,5.0,7.4,6.1,6.1,6.4,9.1,17.460527,12.864698,1.5671477,1.642,0.092480004,0.10502,0.074,0.182,28.478,7.02,21.2
KO,Consumer Defensive,6.41,Bueno,6/6,8.8,3.2,7.5,6.2,6.2,2.9,25.982704,23.719097,10.571264,23.239,0.43372002,0.278,0.121,0.182,124.943,2.57,14.8
BB,Technology,6.41,Bueno,5/6,3.8,3.5,7.8,5.6,7.7,,124.799995,54.600338,9.742389,70.449,0.08104,0.10305,0.256,2.163,29.453,,96.5
LRCX,Technology,6.4,Bueno,6/6,9.0,2.5,6.5,5.9,8.9,1.8,77.384186,51.312435,48.54797,60.28,0.66762,0.30938998,0.238,0.408,35.282,0.27,228.5
KB,Financial Services,6.4,Bueno,6/6,6.1,6.1,6.3,6.0,6.6,7.2,9.788405,8.278998,3.9262624,,0.09991,0.36583,0.152,0.168,,3.19,23.8
PBI,Industrials,6.39,Bueno,6/6,5.3,8.5,6.1,2.2,8.2,7.4,17.23077,10.24,-2.7761426,8.758,,0.089209996,-0.032,1.053,,2.21,52.3
ISRG,Healthcare,6.34,Bueno,5/6,7.5,2.1,8.0,10.0,2.9,,49.388077,34.44569,8.233517,35.756,0.17232999,0.28152,0.23,0.188,,,-20.4
GS,Financial Services,6.34,Bueno,6/6,7.2,4.5,6.7,4.1,8.1,4.5,18.633791,15.48225,2.8635507,,0.14548,0.29363,0.145,0.242,678.596,1.77,50.8
TJX,Consumer Cyclical,6.33,Bueno,6/6,8.1,2.7,6.7,4.5,8.2,4.1,29.422178,26.258945,16.064373,20.408,0.6125,0.09402,0.092,0.293,136.307,1.24,26.8
UL,Consumer Defensive,6.33,Bueno,6/6,7.8,6.0,9.0,3.6,2.1,6.2,20.816326,16.019405,7.538198,14.498,0.30955,0.18749,,,160.789,3.76,-14.8
SOFI,Financial Services,6.32,Bueno,5/6,2.6,4.3,9.1,7.1,4.9,,40.422226,22.415558,2.1559796,,0.06597,0.14761,0.425,1.012,17.724,,6.1
LAC,Basic Materials,6.31,Bueno,4/6,2.7,8.6,,6.9,7.5,,,-20.591284,0.9757044,-34.581,-0.04987,0.0,,,46.801,,94.4
CVS,Healthcare,6.29,Bueno,6/6,2.8,8.0,7.3,3.8,8.4,4.4,45.229256,12.354832,1.7022762,12.967,0.037520003,0.00723,0.061,0.631,100.912,2.55,37.7
FDX,Industrials,6.29,Bueno,6/6,3.9,7.5,5.8,6.5,8.8,4.9,17.361828,15.6998625,2.476389,8.958,0.14846,0.0468,0.125,-0.046,135.694,1.53,82.7
TWLO,Technology,6.28,Bueno,5/6,2.6,4.6,7.8,7.9,6.3,,305.80002,29.981976,3.8841233,63.205,0.01317,0.019609999,0.2,3.75,13.722,,53.3
ZM,Technology,6.28,Bueno,5/6,7.6,7.9,4.8,9.1,5.6,,12.686303,13.676011,2.5954382,13.197,0.21948,0.41987,0.055,0.742,0.604,,30.3
BMY,Healthcare,6.28,Bueno,6/6,7.2,7.9,4.5,4.5,7.4,9.1,16.39916,9.494502,5.9569592,8.087,0.38731998,0.15006,0.026,0.092,230.967,4.38,29.5
PBR,Energy,6.26,Bueno,6/6,9.1,9.6,3.8,2.9,6.6,10.0,5.217949,3.957864,1.2279177,2.114,0.25601,0.21599,0.004,-0.072,83.269,10.82,55.6
USO,,6.25,Bueno,3/6,,5.0,,,10.0,0.0,32.399395,,1.5497055,,,,,,,0.0,76.6
BAC,Financial Services,6.25,Bueno,6/6,5.7,7.0,6.0,9.0,5.8,5.4,14.361041,11.376391,1.4968704,,0.10644,0.28956,0.081,0.244,,1.94,11.3
IJH,,6.25,Bueno,3/6,,7.0,,,8.0,2.0,22.479448,,0.29412553,,,,,,,1.19,21.6
XLU,,6.25,Bueno,3/6,,7.0,,,6.0,6.0,21.177835,,0.71917486,,,,,,,2.68,11.1
JPM,Financial Services,6.24,Bueno,6/6,7.8,5.2,6.1,9.0,5.2,4.7,15.775007,13.979691,2.5669298,,0.16465001,0.33936,0.127,0.172,,1.82,6.3
USB,Financial Services,6.22,Bueno,6/6,6.5,6.9,4.7,8.0,6.8,7.5,12.84696,10.831161,1.6325226,,0.123500004,0.29294002,0.046,0.148,,3.41,24.9
MDT,Healthcare,6.2,Bueno,6/6,4.7,7.7,7.1,8.3,3.2,7.9,21.69169,12.632024,2.0940526,12.293,0.098409995,0.13203,0.099,0.183,58.214,3.56,-12.2
BG,Consumer Defensive,6.2,Bueno,6/6,2.4,7.7,5.7,7.5,10.0,3.2,28.731579,10.014768,1.3201935,16.772,0.04933,0.00848,0.878,-0.764,93.214,2.61,57.9
MCD,Consumer Cyclical,6.19,Bueno,6/6,9.8,4.6,6.0,4.3,5.3,6.9,22.012766,18.79714,-147.64365,16.504,,0.31618,0.094,0.069,,2.76,-2.6
ARM,Technology,6.18,Bueno,5/6,4.9,1.6,6.3,8.8,8.0,,409.0238,111.32243,44.122253,332.41,0.119540006,0.18374,0.201,0.479,5.926,,113.5
TIMB,Communication Services,6.18,Bueno,6/6,7.1,7.4,5.4,4.4,5.8,8.6,12.546512,9.935177,2.1761117,1.897,0.17724001,0.1602,0.065,0.032,68.548,6.69,10.9
TX,Basic Materials,6.18,Bueno,6/6,4.3,7.5,6.0,7.1,5.1,9.3,14.506667,7.6582103,0.7152601,8.292,0.03227,0.0366,0.0,2.181,18.239,4.95,65.0
AZN,Healthcare,6.16,Bueno,6/6,7.0,4.2,6.7,5.0,7.8,3.1,28.797886,23.7396,6.248323,15.892,0.23482999,0.17188999,0.125,0.053,71.815,1.68,35.2
BKNG,Consumer Cyclical,6.15,Bueno,6/6,9.5,5.4,8.8,3.5,2.8,2.0,24.032938,14.825622,-16.308449,13.853,,0.22227,0.162,2.4,,0.89,-26.0
HSBC,Financial Services,6.15,Bueno,6/6,6.8,5.0,3.0,9.0,9.3,8.2,15.717354,10.053349,7.477833,,0.11611,0.34977,0.033,0.026,,4.0,61.8
NFLX,Communication Services,6.15,Bueno,5/6,9.2,3.0,8.2,5.5,2.2,,23.800001,19.20149,9.985113,22.074,0.48494998,0.28521,0.162,0.864,53.788,,-35.0
QCOM,Technology,6.14,Bueno,6/6,7.3,6.7,5.0,5.2,6.9,7.5,20.292473,17.210655,7.326656,15.777,0.36083,0.22308001,-0.035,1.73,55.979,1.94,61.1
TXN,Technology,6.11,Bueno,6/6,7.5,4.0,5.7,5.6,6.2,7.8,48.800003,29.820284,15.484081,31.011,0.32347,0.29108,0.186,0.313,83.741,1.99,51.8
TM,Consumer Cyclical,6.09,Bueno,6/6,5.6,6.3,5.3,5.7,7.1,7.9,9.389589,10.859316,14.452312,6.187,0.10233,0.07592,0.019,0.232,107.061,3.65,10.3
EA,Communication Services,6.08,Bueno,6/6,5.9,2.9,7.5,6.0,7.0,2.8,58.418804,21.353102,7.600356,33.899,0.1349,0.11778,0.119,0.853,27.41,0.37,26.8
SHOP,Technology,6.05,Bueno,5/6,4.2,3.4,7.7,9.4,4.3,,111.97059,48.96421,11.884496,68.007,0.11311,0.10771,0.343,,1.432,,4.5
GLNG,Energy,6.01,Bueno,6/6,6.8,2.6,10.0,5.7,1.8,3.1,38.488373,46.257908,2.6453197,26.415,0.08901,0.30103,1.201,8.825,127.188,2.01,22.9
JOYY,Communication Services,6.01,Bueno,6/6,4.2,6.7,4.3,8.1,7.3,9.5,15.121559,10.389794,0.50888795,15.167,0.03264,0.10358,0.124,-0.972,0.784,7.2,39.7
BP,Energy,6.01,Bueno,6/6,2.3,3.9,8.8,4.4,4.4,8.7,30.116936,9.111737,6.883237,12.868,0.05842,0.01663,0.116,4.745,96.384,5.38,45.4
JCI,Industrials,6.01,Bueno,6/6,5.8,3.7,7.1,6.1,6.7,3.4,42.948013,24.409065,6.3386893,21.595,0.13449,0.14452,0.082,0.389,70.317,1.16,27.3
GLD,,6.0,Bueno,3/6,,8.0,,,8.0,0.0,,,2.167695,,,,,,,0.0,38.5
